t,phi,theta,psi,pos_x,pos_y,pos_z,omega_x,omega_y,omega_z,vel_x,vel_y,vel_z,g,f_x_left,f_y_left,f_z_left,f_x_right,f_y_right,f_z_right,r_x_left,r_y_left,r_z_left,r_x_right,r_y_right,r_z_right,theta_delay_compensation,full_iteration_time,phi_delay_compensation
0,4.29412e-05,5.46018e-07,2.1954e-06,7.27619e-07,-0.000455502,1.48006,0.00297785,-3.15535e-05,1.29552e-05,-5.63914e-05,-0.00579724,0.00581889,-9.81,1.76774e-14,-3.33227e-23,0,-26.3915,-2.89594e-22,259.482,-0.149432,-0.000455502,-8.42275e-05,0.150568,-0.000455502,-8.42275e-05,-6.49504e-06,420,7.13594e-28
0.0333333,4.29871e-05,5.46056e-07,2.99965e-06,6.50528e-07,-0.000600555,1.48006,0.0026538,2.3454e-05,1.66733e-05,2.56485e-05,-0.00537983,0.00291468,-9.81,1.91421e-15,-7.14531e-15,0,-39.5853,-0.189115,389.254,-0.149509,4.81878e-05,0.000445775,0.150491,4.81878e-05,0.000445775,-5.93192e-06,420,0.000142203
0.0666667,4.00121e-05,5.7325e-07,3.89659e-06,6.12882e-07,-0.000759146,1.48005,-0.00297298,2.71441e-05,3.97441e-05,4.45781e-05,-0.00389221,-0.00559281,-9.81,-9.05943e-15,8.03462e-15,8.97637e-09,-22.446,-0.104879,220.727,-0.149267,2.42387e-05,-0.00186982,0.150733,2.42387e-05,-0.00186982,-5.81072e-06,420,3.03731e-05
0.1,4.29841e-05,5.46089e-07,4.71408e-06,4.8614e-07,-0.000909952,1.48006,0.00267749,1.94172e-05,1.64017e-05,1.96296e-05,-0.00541028,0.00312785,-9.81,-5.14806e-16,7.04388e-16,0,-42.2973,-0.254072,415.845,-0.149586,-1.91225e-05,0.00155577,0.150414,-1.91225e-05,0.00155577,-5.10255e-06,420,5.69829e-06
0.133333,4.02942e-05,5.28685e-07,5.66222e-06,3.77212e-07,-0.00107856,1.48005,-0.00267239,-1.74058e-05,3.77974e-05,-2.16715e-05,-0.00425234,-0.00322929,-9.81,1.30059e-15,1.70534e-15,4.96441e-10,-15.0148,-0.120423,147.608,-0.149218,1.64383e-05,-0.00236746,0.150782,1.64383e-05,-0.00236746,-9.62232e-06,420,0.000112976
0.166667,4.0046e-05,5.6793e-07,6.46812e-06,3.58885e-07,-0.00122328,1.48005,-0.00293709,2.18156e-05,3.95121e-05,3.66736e-05,-0.0039353,-0.00531056,-9.81,1.76185e-13,3.4378e-14,6.94095e-09,-45.9607,-0.405888,451.989,-0.149721,0.000102356,0.00253046,0.150279,0.000102356,0.00253046,1.0805e-06,420,7.80058e-05
0.2,4.29683e-05,5.46088e-07,7.33907e-06,2.3524e-07,-0.00138371,1.48006,0.0029126,-2.03214e-05,1.37226e-05,-3.96356e-05,-0.00571358,0.00522789,-9.81,-4.99142e-17,-1.75036e-16,0,-7.0601,-0.0486846,69.3633,-0.14915,-2.174e-05,-0.00273423,0.15085,-2.174e-05,-0.00273423,-1.35205e-05,420,-5.98348e-05
0.233333,4.29822e-05,5.46106e-07,8.2504e-06,1.48588e-07,-0.00154809,1.48006,0.00271588,1.29447e-05,1.59686e-05,9.97951e-06,-0.00545979,0.00347018,-9.81,-1.6245e-15,9.1308e-16,0,-49.9642,-0.566196,491.364,-0.149868,2.69727e-05,0.00398577,0.150132,2.69727e-05,0.00398577,4.54951e-06,420,0.00022258
0.266667,4.29698e-05,5.46098e-07,9.16099e-06,6.19106e-08,-0.00171245,1.48006,0.00289605,-1.75121e-05,1.39141e-05,-3.54441e-05,-0.00569222,0.00507977,-9.81,-1.31112e-14,2.94164e-15,0,-46.3981,-0.489706,456.277,-0.149075,2.81191e-05,-0.00377423,0.150925,2.81191e-05,-0.00377423,-1.57198e-05,420,-9.543e-05
0.3,4.02493e-05,5.35899e-07,1.01637e-05,-4.05884e-08,-0.00189068,1.48005,-0.00272096,-1.02288e-05,3.81136e-05,-1.09595e-05,-0.00419434,-0.0036106,-9.81,5.37625,-0.0453263,48.904,-2.60603e-14,4.37749e-13,6.823e-09,-0.163751,-0.00315933,-0.00321784,0.136249,-0.00315476,-0.00321784,-1.49903e-05,420,0.000389663
